1726896070,SMScanAndBag,70
1726896077,SMBagAndEAS,15
1726896079,SMScanAndBag,60
1726896080,SMBagAndEAS,15
1726896082,SMScanAndBag,60
1726896084,SMScanAndBag,70
1726896090,SMBagAndEAS,15
1726896092,SMScanAndBag,60
1726896093,SMCustomMessage,70
1726896094,SMScanAndBag,70
1726896098,SMBagAndEAS,15
1726896099,SMScanAndBag,60
1726896100,SMScanAndBag,70
1726896102,SMBagAndEAS,15
1726896103,SMScanAndBag,60
1726896105,SMScanAndBag,70
1726896106,SMBagAndEAS,15
1726896107,SMScanAndBag,60
1726896108,SMScanAndBag,70
1726896113,SMBagAndEAS,15
1726896115,SMScanAndBag,60
1726896115,SMBagAndEAS,15
1726896116,SMScanAndBag,60
1726896118,SMBagAndEAS,15
1726896119,SMScanAndBag,60
1726896120,SMBagAndEAS,15
1726896121,SMScanAndBag,60
1726896122,SMBagAndEAS,15
1726896124,SMScanAndBag,60
1726896125,SMBagAndEAS,15
1726896126,SMScanAndBag,60
1726896131,SMBagAndEAS,15
1726896132,SMScanAndBag,60
1726896133,SMBagAndEAS,15
1726896135,SMScanAndBag,60
1726896136,SMBagAndEAS,15
1726896138,SMScanAndBag,60
1726896140,SMBagAndEAS,15
1726896142,SMScanAndBag,60
1726896144,SMFinish,60
1726896146,SMCardProcessing,60
1726896154,SMCmDataEntry,81
1726896168,SMTakeCard,1
1726896168,SMTakeReceipt,1
1726896168,SMThankYou,1
1726896174,SMSecUnExpectedIncrease,1
1726896242,SMThankYou,1
1726896242,SMAttract,1
1726896710,SMScanAndBag,27
1726896711,SMScanAndBag,70
1726896712,SMScanAndBag,70
1726896722,SMBagAndEAS,15
1726896724,SMScanAndBag,60
1726896725,SMScanAndBag,70
1726896729,SMBagAndEAS,15
1726896731,SMScanAndBag,60
1726896732,SMScanAndBag,70
1726896738,SMBagAndEAS,15
1726896740,SMScanAndBag,60
1726896743,SMCustomMessage,70
1726896745,SMScanAndBag,70
1726896749,SMBagAndEAS,15
1726896753,SMScanAndBag,60
1726896753,SMCustomMessage,70
1726896755,SMScanAndBag,70
1726896761,SMBagAndEAS,15
1726896763,SMScanAndBag,60
1726896766,SMScanAndBag,70
1726896775,SMBagAndEAS,15
1726896777,SMScanAndBag,60
1726896777,SMScanAndBag,70
1726896785,SMBagAndEAS,15
1726896787,SMScanAndBag,60
1726896790,SMBagAndEAS,15
1726896793,SMScanAndBag,60
1726896798,SMBagAndEAS,15
1726896801,SMScanAndBag,60
1726896808,SMCustomMessage,70
1726896814,SMScanAndBag,70
1726896815,SMBagAndEAS,15
1726896818,SMScanAndBag,60
1726896822,SMBagAndEAS,15
1726896824,SMScanAndBag,60
1726896827,SMBagAndEAS,15
1726896829,SMScanAndBag,60
1726896830,SMBagAndEAS,15
1726896832,SMScanAndBag,60
1726896840,SMBagAndEAS,15
1726896841,SMScanAndBag,60
1726896842,SMScanAndBag,70
1726896850,SMBagAndEAS,15
1726896852,SMScanAndBag,60
1726896857,SMBagAndEAS,15
1726896859,SMScanAndBag,60
1726896864,SMBagAndEAS,15
1726896867,SMScanAndBag,60
1726896874,SMBagAndEAS,15
1726896875,SMScanAndBag,60
1726896878,SMScanAndBag,70
1726896882,SMCmDataEntry,81
1726896887,SMBagAndEAS,15
1726896887,SMScanAndBag,70
1726896887,SMBagAndEAS,15
1726896887,SMScanAndBag,60
1726896891,SMBagAndEAS,15
1726896893,SMScanAndBag,60
1726896902,SMBagAndEAS,15
1726896904,SMScanAndBag,60
1726896905,SMBagAndEAS,15
1726896907,SMScanAndBag,60
1726896915,SMBagAndEAS,15
1726896916,SMScanAndBag,60
1726896917,SMScanAndBag,70
1726896921,SMBagAndEAS,15
1726896923,SMScanAndBag,60
1726896923,SMBagAndEAS,15
1726896925,SMScanAndBag,60
1726896928,SMBagAndEAS,15
1726896931,SMScanAndBag,60
1726896933,SMBagAndEAS,15
1726896935,SMScanAndBag,60
1726896938,SMBagAndEAS,15
1726896941,SMScanAndBag,60
1726896944,SMBagAndEAS,15
1726896947,SMScanAndBag,60
1726896953,SMBagAndEAS,15
1726896955,SMScanAndBag,60
1726896956,SMBagAndEAS,15
